-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2023 in UTC
Location: Latitude  13.0808   Longitude 80.2834 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
IMERG_PRECTOT     MERRA-2 Total Precipitation (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
IMERG_PRECTOT,2000,0.03,7.17,0.23,0.18,1.83,2.78,2.77,5.33,3.8,7.38,4.13,1.76,3.12
IMERG_PRECTOT,2001,0.08,0.0,0.0,4.55,0.92,1.87,3.47,2.34,4.59,14.48,10.26,5.95,4.04
IMERG_PRECTOT,2002,0.89,0.07,0.0,0.01,0.99,1.26,1.88,5.67,3.21,14.6,8.96,1.09,3.22
IMERG_PRECTOT,2003,0.01,0.0,0.53,0.09,0.41,0.96,4.78,4.48,3.52,9.09,2.1,4.31,2.52
IMERG_PRECTOT,2004,0.89,0.0,0.0,0.32,7.09,1.57,2.27,1.18,10.08,13.13,8.46,0.07,3.76
IMERG_PRECTOT,2005,0.03,0.0,0.23,6.54,0.9,1.59,4.41,2.67,4.06,29.44,18.29,8.82,6.41
IMERG_PRECTOT,2006,0.15,0.0,1.11,0.68,0.69,2.71,4.79,3.04,4.59,17.46,7.17,0.48,3.57
IMERG_PRECTOT,2007,0.03,0.01,0.0,0.38,0.4,5.13,10.46,10.95,9.1,10.58,2.64,5.04,4.56
IMERG_PRECTOT,2008,1.5,0.17,5.04,0.35,0.35,2.18,2.49,3.27,3.12,13.54,17.1,0.51,4.13
IMERG_PRECTOT,2009,0.14,0.0,0.91,0.03,0.99,1.77,3.21,5.24,4.34,1.88,19.05,6.03,3.63
IMERG_PRECTOT,2010,0.14,0.0,0.0,0.52,5.26,4.46,5.88,11.46,4.0,8.21,14.51,8.6,5.25
IMERG_PRECTOT,2011,0.09,0.57,0.0,1.7,0.54,3.13,4.19,8.58,6.54,9.68,11.64,4.32,4.25
IMERG_PRECTOT,2012,0.0,0.0,0.15,0.2,0.22,1.22,3.48,4.57,7.06,11.19,0.75,4.86,2.81
IMERG_PRECTOT,2013,0.01,0.92,0.76,0.17,1.01,3.21,5.71,4.8,5.83,7.06,3.21,1.21,2.83
IMERG_PRECTOT,2014,0.04,0.06,0.02,0.04,1.14,3.44,2.16,7.49,4.22,12.88,5.17,3.61,3.36
IMERG_PRECTOT,2015,0.0,0.0,0.0,2.34,1.42,2.19,4.54,5.77,2.55,6.92,28.05,10.89,5.39
IMERG_PRECTOT,2016,0.02,0.0,0.0,0.0,7.65,4.71,2.46,2.53,6.64,0.31,0.26,8.3,2.74
IMERG_PRECTOT,2017,0.09,0.0,0.01,0.0,0.26,2.7,4.52,8.05,5.59,8.89,16.79,0.16,3.92
IMERG_PRECTOT,2018,0.09,0.04,0.46,0.0,0.02,1.87,2.45,6.35,3.01,4.57,5.63,1.58,2.17
IMERG_PRECTOT,2019,0.06,0.06,0.0,0.15,0.32,1.45,6.25,5.99,9.09,9.0,4.85,3.17,3.37
IMERG_PRECTOT,2020,0.12,0.01,0.0,1.17,0.14,2.01,7.35,3.93,5.58,7.41,12.16,6.24,3.84
IMERG_PRECTOT,2021,4.83,0.01,0.02,0.72,1.29,2.03,5.97,4.39,4.17,6.59,24.56,5.38,5.0
IMERG_PRECTOT,2022,0.19,0.03,0.07,0.0,2.56,4.84,3.38,4.65,3.33,6.57,10.42,7.33,3.61
IMERG_PRECTOT,2023,0.04,0.0,1.43,0.42,1.42,5.2,3.31,6.72,7.91,2.25,14.42,9.89,4.42
