DATE,GW_LEVEL,RAINFALL,MONTH,SEASON,GW_LAG_1,GW_LAG_3,GW_LAG_6
2002-01-01,2.62,0.89,1,1,3.1,3.53,2.62
2002-05-01,3.54,0.99,5,2,2.62,3.93,3.07
2002-08-01,3.87,5.67,8,3,3.54,3.1,3.64
2003-01-01,2.92,0.01,1,1,3.87,2.62,3.53
2003-05-01,2.25,0.41,5,2,2.92,3.54,3.93
2003-08-01,2.82,4.48,8,3,2.25,3.87,3.1
2003-11-01,9.89,2.1,11,4,2.82,2.92,2.62
2004-01-01,6.5,0.89,1,1,9.89,2.25,3.54
2004-05-01,16.2,7.09,5,2,6.5,2.82,3.87
2004-08-01,10.7,1.18,8,3,16.2,9.89,2.92
2004-11-01,3.0,8.46,11,4,10.7,6.5,2.25
2005-01-01,4.88,0.03,1,1,3.0,16.2,2.82
2005-05-01,17.3,0.9,5,2,4.88,10.7,9.89
2005-08-01,12.64,2.67,8,3,17.3,3.0,6.5
2005-11-01,0.39,18.29,11,4,12.64,4.88,16.2
2006-01-01,2.03,0.15,1,1,0.39,17.3,10.7
2006-05-01,3.04,0.69,5,2,2.03,12.64,3.0
2006-08-01,10.2,3.04,8,3,3.04,0.39,4.88
2006-11-01,0.6,7.17,11,4,10.2,2.03,17.3
2007-01-01,2.2,0.03,1,1,0.6,3.04,12.64
2007-05-01,3.0,0.4,5,2,2.2,10.2,0.39
2007-08-01,2.6,10.95,8,3,3.0,0.6,2.03
2007-11-01,1.45,2.64,11,4,2.6,2.2,3.04
2008-01-01,1.75,1.5,1,1,1.45,3.0,10.2
2008-05-01,3.12,0.35,5,2,1.75,2.6,0.6
2008-08-01,2.78,3.27,8,3,3.12,1.45,2.2
2009-01-01,1.72,0.14,1,1,2.78,1.75,3.0
2009-05-01,8.6,0.99,5,2,1.72,3.12,2.6
2009-08-01,3.15,5.24,8,3,8.6,2.78,1.45
2009-11-01,1.3,19.05,11,4,3.15,1.72,1.75
2010-05-01,2.71,5.26,5,2,1.3,8.6,3.12
2011-01-01,1.22,0.09,1,1,2.71,3.15,2.78
2012-05-01,2.14,0.22,5,2,1.22,1.3,1.72
2012-08-01,3.25,4.57,8,3,2.14,2.71,8.6
2013-01-01,2.35,0.01,1,1,3.25,1.22,3.15
2013-05-01,2.64,1.01,5,2,2.35,2.14,1.3
2013-08-01,2.4,4.8,8,3,2.64,3.25,2.71
2013-11-01,1.0,3.21,11,4,2.4,2.35,1.22
2014-01-01,1.9,0.04,1,1,1.0,2.64,2.14
2014-05-01,3.2,1.14,5,2,1.9,2.4,3.25
2014-08-01,2.4,7.49,8,3,3.2,1.0,2.35
2014-11-01,1.5,5.17,11,4,2.4,1.9,2.64
2015-01-01,1.81,0.0,1,1,1.5,3.2,2.4
2015-05-01,3.4,1.42,5,2,1.81,2.4,1.0
2015-08-01,2.66,5.77,8,3,3.4,1.5,1.9
2015-11-01,2.66,28.05,11,4,2.66,1.81,3.2
2016-01-01,2.66,0.02,1,1,2.66,3.4,2.4
2016-05-01,2.22,7.65,5,2,2.66,2.66,1.5
2016-08-01,3.3,2.53,8,3,2.22,2.66,1.81
2016-11-01,3.1,0.26,11,4,3.3,2.66,3.4
2017-01-01,3.5,0.09,1,1,3.1,2.22,2.66
2017-05-01,3.65,0.26,5,2,3.5,3.3,2.66
2017-08-01,3.7,8.05,8,3,3.65,3.1,2.66
2017-11-01,3.7,16.79,11,4,3.7,3.5,2.22
2018-01-01,3.3,0.09,1,1,3.7,3.65,3.3
2018-05-01,5.35,0.02,5,2,3.3,3.7,3.1
2018-08-01,5.8,6.35,8,3,5.35,3.7,3.5
2018-11-01,3.3,5.63,11,4,5.8,3.3,3.65
2019-01-01,4.6,0.06,1,1,3.3,5.35,3.7
2019-05-01,4.1,0.32,5,2,4.6,5.8,3.7
2019-08-01,6.2,5.99,8,3,4.1,3.3,3.3
2019-11-01,4.0,4.85,11,4,6.2,4.6,5.35
2020-01-01,4.0,0.12,1,1,4.0,4.1,5.8
2020-05-01,5.12,0.14,5,2,4.0,6.2,3.3
2020-08-01,4.6,3.93,8,3,5.12,4.0,4.6
2020-11-01,2.2,12.16,11,4,4.6,4.0,4.1
2021-01-01,1.99,4.83,1,1,2.2,5.12,6.2
2021-05-01,2.6,1.29,5,2,1.99,4.6,4.0
2021-08-01,2.3,4.39,8,3,2.6,2.2,4.0
2021-11-01,1.26,24.56,11,4,2.3,1.99,5.12
2022-01-01,1.7,0.19,1,1,1.26,2.6,4.6
2022-05-01,5.0,2.56,5,2,1.7,2.3,2.2
2022-08-01,5.23,4.65,8,3,5.0,1.26,1.99
2022-11-01,2.8,10.42,11,4,5.23,1.7,2.6
2023-01-01,3.15,0.04,1,1,2.8,5.0,2.3
2023-05-01,2.6,1.42,5,2,3.15,5.23,1.26
2023-08-01,1.7,6.72,8,3,2.6,2.8,1.7
2023-11-01,1.12,14.42,11,4,1.7,3.15,5.0
